sku_id	价格	商品名称
﻿ANO	IMPERIAL皇家斯加诺	特级初榨橄榄油750ml*2瓶宏福精装礼盒装1
1231036	10.5	泰国进口大哥牌Koh-Kae芥末味香酥花生豆80g1
1231034	10.5	泰国进口大哥牌Koh-Kae烧烤味香酥花生豆80g1
1231033	10.5	泰国进口大哥牌Koh-Kae虾味香酥花生豆80g1
1231032	10.5	泰国进口大哥牌Koh-Kae咖啡味香酥花生豆85g1
1744313	3.9	金泰红腰豆罐头410g1
1231784	14.6	三岛日式拌菜汁（芥末）210g1
1197362	139	坎诺拉（Canola）加拿大原装进口芥花籽油3L1
1322455	96	中华老字号立丰金牌大礼包620g1
1322486	99	凤山安溪铁观音清香型WT1020X乌龙茶茶叶250g1
1666432	29.9	福海堂法兰西玫瑰35g铁罐装花草茶1
1666433	25	福海堂洛神花铁罐装花草茶30g1
1229293	19.9	华味亨精选扁桃仁150g1
1513324	42.8	雀巢(Nestle)雀巢美禄巧克力1kg麦芽可可粉1
1268544	22.5	中国台湾进口贝瑞斯塔（BARISTA）蓝山拿铁味咖啡105g1
2130559	5.9	越南进口谷蒂奶酪味脆皮花生豆40g1
1618596	28	荷兰乳牛多维营养配方奶粉400g袋装1
1618594	168	荷兰乳牛中老年益生菌奶粉1.8kg礼盒【2听礼盒装】1
2130560	5.9	越南进口谷蒂蒜味香脆豌豆40g1
2117573	26.9	百草味休闲零食鲜香杏鲍菇200g/袋1
2130569	5.9	越南进口谷蒂芥末味香脆豌豆40g1
2130568	7.9	越南进口谷蒂葡萄干40g1
1741904	7.5	广乐甜酒酿醪糟350g1
1741900	8	海天叉烧酱280g1
1299006	49	君乐宝开啡尔巴氏杀菌常温酸牛奶200g*12钻石装/礼盒装1
1819575	4.9	宝奴咪（Bonumee）酸砂彩虫橡皮糖60g1
1741934	32.9	太太乐天天旺鸡精1kg1
1741930	22.5	湘君府鱼头剁椒2.3kg1
1741927	21.5	坛坛乡精制剁辣椒1.15kg1
1299044	22.9	一品巷子坚果炒货夏果奶香夏威夷果208g1
1819596	4.9	宝奴咪（Bonumee）酸桃心橡皮糖60g1
1757382	39.9	澳大利亚进口黄金手指Butterfingers裙形黄油曲奇饼干150g1
2021431	128	八马茶业小浓香安溪铁观音礼盒浓香型乌龙茶250克/盒1
2021429	200	八马茶业2015新茶春茶浙江龙井绿茶银龙井礼盒装128克/盒1
1299029	33.9	一品巷子坚果炒货奶香手剥山核桃208g1
2117564	14.9	百草味饼干蛋糕零食杂粮饼125g/盒1
1424256	13.9	德辉金华酥饼梅干菜扣肉大酥饼240g1
1788320	128	富昌合家欢精选礼盒1220g1
1336771	29.8	西域良品和田骏枣三等新疆特产大枣红枣蜜饯果干500g1
1788322	88	富昌团圆桂圆礼盒1800g1
852184	10.3	徐福记沙琪玛松软蛋黄味311g1
1319181	41.9	康师傅绿茶蜂蜜茉莉味2L*6瓶整箱1
904604	17.9	一品玉坚果炒货干果美国盐焗腰果180g/袋（新老包装交替发货）1
1788331	128	富昌大礼包1220g1
1319199	57.9	康师傅经典奶茶核桃味500ml*15瓶整箱1
1319215	86	稻香村臻味锦礼京八件糕点礼盒1200g（礼袋随机发放）1
1319211	45.9	康师傅本味茶庄甘醇绿茶（无糖）350ml*15瓶整箱1
