sku_id,价格,商品名称
﻿9637,9800.0,西门子（SIEMENS）TE501803CN原装进口全自动咖啡机(黑色)1
902994,599.0,美的（Midea）微波炉微电脑下拉门智能隐藏式EG7XCGW6-NA1
1136193,149.0,利仁（Liven）电饼铛煎烤机薄饼铛LRT-313F1
1445127,299.0,苏泊尔（SUPOR）电蒸锅ZN28YK8071
1585672,109.0,华迅仕（Fxunshi）MD-401家用不锈钢烤面包机多士炉早餐机黑色1
1585668,129.0,华迅仕（Fxunshi）MD-401家用不锈钢烤面包机多士炉早餐机红黑色1
1231103,299.0,澳柯玛（AUCMA）AMB-201家用全自动馒头面包一体机1
342345,1498.0,虎牌（tiger）JBA-S10C电饭煲国内3L1
986904,199.0,小熊（Bear）电蒸锅DZG-240GA不锈钢多功能锅4L1
1010109,1390.0,意大利德龙（Delonghi）胶囊咖啡机Genio星夜银EDG466.S1
1010111,1690.0,意大利德龙（Delonghi）胶囊咖啡机Melody星夜银EDG626.S1
1101131,219.0,小熊（Bear）DDZ-125TB电炖锅电炖盅一锅四胆双层外壳2.5L1
1982314,799.0,格兰仕（Galanz）G90F25CN3L-C2(G1)25升900瓦快速加热智能微波炉/快波炉京东微联APP控制1
1308786,488.0,九阳（Joyoung）豆浆机全钢免滤多功能豆浆机DJ13B-C668SG（可预约）1
252693,169.0,格兰仕（Galanz)KA3055悬浮式多功能电饼铛1
1231104,659.0,虎牌（Tiger）JBA-B10C电饭煲国内3L1
420695,299.0,北美电器（ACA）AB-P10F小清新面包机全自动家用1
1321721,298.0,飞利浦（PHILIPS）HD4826/92烤面包机1
1352517,299.0,奔腾（POVOS）CG2138超薄技术电磁炉第五代滑动触摸1
497583,988.0,韩国福库（CUCKOO）多功能电烤盘CCG-101M(黑色)1
273198,529.0,依立（Yili)KSC48-I紫砂电炖锅4.8L1
660577,79.0,华迅仕（Fxunshi）MD-208A美式咖啡机自动保温1
849839,388.0,灿坤（EUPA）TSK-2742G多功能铁板烧（大理石不粘烤盘）1
1204672,159.0,利仁（Liven）分体式多功能电火锅HG-F4303（枣红色）1
1162131,199.0,美的（Midea）WDE12F43多功能双层无网智能保温豆浆机1
1399909,499.0,九阳（Joyoung）DJ13B-D79SG植物奶牛双预约多功能豆浆机双预约系统（可预约温度和时间）1
1204660,99.0,利仁（Liven）HG-F4283分体=式多功能电火锅（枣红色）1
1204658,339.0,利仁（Liven）电饼铛一键可拆洗“带圈”电脑版LR-A434A（煎烤机）1
1162136,89.0,苏泊尔（SUPOR）电水壶电热水壶SWF15E06A-1801
1109124,799.0,亨博（hengbo）HB-680电热烧烤炉家用无烟烤肉机铁板牛排电烤炉杜邦不粘大烤盘电饼铛可商用1
1204592,99.0,九阳（Joyoung）DFH-8K601多功能电饭盒保温电热电子饭盒（双层不锈钢内胆）1
1010200,199.0,灿坤（EUPA）TSK-8219YG鸳鸯电火锅1
