_id	价格	商品名称
﻿6462	21.5	朝露禾田粮油调味有机粳糙米五谷杂粮400g×1盒1
1196463	21.5	朝露禾田粮油调味有机荞麦米五谷杂粮380g×1盒1
1178913	19.9	德芙Dove巧丝轻柔夹心威化巧克力202.5g（18支装）1
1178912	7.2	德芙Dove巴旦木牛奶巧克力（排块）43g1
1196458	59.9	泰国进口酸奶达美（DutchMill）混合果味酸奶180ml*12礼盒装1
1178914	79.9	M&M’s礼品豆人花生牛奶巧克力豆（礼品装）148.5g1
1266336	79.6	日清葵花籽油5L1
1196450	25.5	朝露禾田粮油调味有机芸豆五谷杂粮360g×1盒1
1178933	26.8	中国台湾金兰五谷酱油500ml1
312719	55	西班牙Ybarra亿芭利特级初榨橄榄油500ml1
312706	25.9	西班牙MUELOLIVA品利特级初榨橄榄油250ml1
312704	78.2	西班牙MUELOLIVA品利特级初榨橄榄油750ml1
312710	119	西班牙MUELOLIVA品利特级初榨橄榄油750ml*2瓶礼盒1
1178938	22.8	咪咪正宗马来西亚风味虾条20g*40包1
528787	25.8	海南特产南国食品零食喜糖开心椰球原味100g*2/袋1
1178885	3	脆香米脆米心奶香白巧克力24g1
528790	25.8	海南特产南国食品休闲食品开心椰球榴莲味100g*2/袋特惠装1
1178882	3	脆香米脆米心牛奶巧克力24g1
1178880	29.9	德芙Dove榛仁葡萄干巧克力（碗装）243g1
1178894	9.9	德芙Dove丝滑牛奶巧克力（袋装）84g1
1178892	39.9	德芙Dove原粒榛仁、巴旦木及葡萄干巧克力（碗装）200g1
1178890	13.5	德芙Dove奶香白巧克力（袋装）84g1
1178902	72	德芙Dove精心之选多种口味巧克力（礼盒装）140g【本产品不含礼品袋，请以收到实物为准】1
1178900	45	M&M's礼品豆脸花生牛奶巧克力豆（礼品装）121.5g1
1178898	13.5	德芙Dove原粒榛仁、巴旦木及葡萄干巧克力（袋装）72g1
1178896	9.9	德芙Dove丝滑牛奶颗粒巧克力（袋装）72g1
1178910	79.9	M&M’s礼品豆人牛奶巧克力豆（礼品装）148.5g1
1178909	7.2	德芙Dove醇香榛仁黑巧克力（排块）43g1
1178907	17	M&M’s彩豆分享装花生牛奶巧克力豆160g1
1178905	45	M&M's礼品豆脸牛奶巧克力豆（礼品装）121.5g1
1266404	199	润思茶叶祁门红茶经典1951茶叶150g1
1301361	128	新农哥坚果零食大礼包年货礼盒金玉满堂礼盒（B）1472g1
684816	39.8	新疆特产味正品吐鲁番葡萄干400g*2袋1
933647	8.9	果珍欢唱柠檬200g1
933645	8.9	果珍阳光甜橙200g1
933648	8.9	果珍蜜桃口味200g1
546049	23.9	重庆特产有友泡椒凤爪休闲零食山椒味180g*3袋1
1161578	99	西班牙CICHANOIMPERIAL皇家斯加诺特级初榨橄榄油500ml*2瓶皇家风情礼盒装1
1161574	154.9	西班牙CICHANOIMPERIAL皇家斯加诺特级初榨橄榄油1L*2瓶宏福精装礼盒装1
1161588	119.9	西班牙CICHANOIMPERIAL皇家斯加诺特级初榨橄榄油750ml*2瓶皇家风情礼盒装1
885630	9.9	麦德好营养麦片巧克力128g1
854776	11.5	土耳其Faliso法丽莎牌两头尖直纹花通粉500g1
1109759	249	法国进口巴黎水天然含气矿泉水330ml*24整箱（Perrier）矿泉水1
1109754	50	雀巢（Nestle）深泉饮用天然矿泉水550ml*24瓶箱装1
1109752	42	王老吉凉茶310ml*12罐整箱礼盒装1
1109750	209	法国进口巴黎水柠檬味天然含汽矿泉水750ml*12整箱（Perrier）矿泉水1
312703	55	西班牙MUELOLIVA品利特级初榨橄榄油500ml1
1251193	19.9	良品铺子坚果炒货干果碧根果奶香山核桃238g1
1251194	11.9	良品铺子坚果炒货甘栗仁板栗80g1
1251196	11.9	良品铺子蜜饯水果干果脯木瓜干100g1
1251185	19.9	良品铺子坚果炒货干果奶香夏威夷果280g1
1251190	15.9	良品铺子休闲零食麻辣鸡蛋干238g1
